# downloaded from PARSEC/CMD via ezpadova
# component=thick family=thick_disk component_index=7 logAge=10.07918 MH=-1.0 photometric_system=ubvrijhk
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag
0.0015467 -1 10.07918 0.0900000036 1.081689593 0.09 -3.239 3.4439 5.358 1 0 0.545 0 0 0 0 0 -1 -3.61e-17 0 0.7449 0.2534 0.0002929 7.903e-05 0.0007168 -1 0.001629 12.867 21.301 18.545 16.535 14.487 12.449 10.788 10.412 10.245
0.0015467 -1 10.07918 0.0972706378 1.147893994 0.097 -3.063 3.4687 5.316 1 0 0.545 0 0 0 0 0 -1 -6.18e-17 0 0.7441 0.2543 0.0002929 7.903e-05 0.0007168 -1 0.001629 12.427 19.698 17.32 15.377 13.673 11.906 10.427 9.976 9.795
0.0015467 -1 10.07918 0.1000000015 1.171106412 0.1 -3 3.4776 5.3 1 0 0.545 0 0 0 0 0 -1 -8.9e-17 0 0.7437 0.2546 0.0002929 7.903e-05 0.0007168 -1 0.001629 12.27 19.158 16.904 14.986 13.388 11.719 10.299 9.825 9.64
0.0015467 -1 10.07918 0.1200000048 1.319315474 0.12 -2.719 3.5109 5.231 1 0 0.545 0 0 0 0 0 -1 -1.68e-16 0 0.7417 0.2567 0.0002929 7.903e-05 0.0007168 -1 0.001629 11.567 17.114 15.323 13.532 12.245 10.935 9.703 9.167 8.963
0.0015467 -1 10.07918 0.1400000006 1.438452672 0.14 -2.534 3.5287 5.184 1 0 0.545 0 0 0 0 0 -1 -2.51e-16 0 0.7401 0.2583 0.0002929 7.903e-05 0.0007168 -1 0.001629 11.105 16.048 14.466 12.771 11.592 10.445 9.296 8.74 8.531
0.0015467 -1 10.07918 0.1599999964 1.537293155 0.16 -2.393 3.5399 5.146 1 0 0.545 0 0 0 0 0 -1 -3.4e-16 0 0.7388 0.2596 0.0002929 7.904e-05 0.0007168 -1 0.001629 10.751 15.357 13.888 12.261 11.137 10.079 8.976 8.411 8.2
0.0015467 -1 10.07918 0.2000000179 1.693879137 0.2 -2.172 3.5546 5.081 1 0 0.545 0 0 0 0 0 -1 -5.45e-16 0 0.7373 0.2611 0.0002929 7.904e-05 0.0007168 -1 0.001629 10.199 14.407 13.07 11.53 10.468 9.513 8.468 7.893 7.68
0.0015467 -1 10.07918 0.25 1.8403258 0.25 -1.966 3.5661 5.019 1 0 0.545 0 0 0 0 0 -1 -1.98e-16 0 0.737 0.2614 0.0002929 7.904e-05 0.0007168 -1 0.001629 9.685 13.607 12.364 10.892 9.873 8.993 7.989 7.408 7.193
0.0015467 -1 10.07918 0.3000000417 1.952914037 0.3 -1.808 3.5749 4.974 1 0 0.545 0 0 0 0 0 -1 -1.77e-18 0 0.7371 0.2612 0.0002929 7.904e-05 0.0007168 -1 0.001629 9.289 13.015 11.835 10.411 9.424 8.593 7.619 7.032 6.819
0.0015467 -1 10.07918 0.349999994 2.043417464 0.35 -1.676 3.5822 4.939 1 0 0.545 0 0 0 0 0 -1 -1.52e-15 0 0.7465 0.2519 0.0002929 7.903e-05 0.0007168 -1 0.001629 8.96 12.532 11.402 10.018 9.057 8.261 7.311 6.72 6.509
0.0015467 -1 10.07918 0.3528438509 2.048053999 0.353 -1.667 3.5829 4.936 1 0 0.545 0 0 0 0 0 -1 -1.55e-15 0 0.7465 0.2519 0.0002929 7.903e-05 0.0007168 -1 0.001629 8.937 12.495 11.369 9.989 9.03 8.237 7.289 6.699 6.488
0.0015467 -1 10.07918 0.400000006 2.11850244 0.4 -1.523 3.5935 4.889 1 0 0.545 0 0 0 0 0 -1 -2.14e-15 0 0.747 0.2514 0.0002929 7.903e-05 0.0007168 -1 0.001629 8.578 11.921 10.866 9.542 8.623 7.875 6.96 6.364 6.16
0.0015467 -1 10.07918 0.4499999881 2.182280901 0.45 -1.345 3.6104 4.83 1 0 0.545 0 0 0 0 0 -1 -3.25e-15 0 0.747 0.2514 0.0002929 7.903e-05 0.0007168 -1 0.001629 8.133 11.161 10.203 8.972 8.114 7.425 6.559 5.952 5.77
0.0015467 -1 10.07918 0.4992380738 2.236667917 0.499 -1.146 3.6369 4.782 1 0 0.545 0 0 0 0 0 -1 -5.17e-15 0 0.747 0.2514 0.0002929 7.903e-05 0.0007168 -1 0.001629 7.635 10.205 9.383 8.292 7.533 6.927 6.129 5.513 5.373
0.0015467 -1 10.07918 0.5 2.237454153 0.5 -1.143 3.6373 4.781 1 0 0.545 0 0 0 0 0 -1 -5.2e-15 0 0.747 0.2514 0.0002929 7.903e-05 0.0007168 -1 0.001629 7.628 10.191 9.371 8.282 7.524 6.92 6.122 5.507 5.368
0.0015467 -1 10.07918 0.5500000715 2.283658313 0.55 -0.918 3.6704 4.73 1 0 0.544 0 0 0 0 0 -1 -8.83e-15 0 0.7811 0.2174 0.0002564 6.921e-05 0.000628 -1 0.001432 7.065 8.997 8.417 7.502 6.871 6.36 5.655 5.088 4.984
0.0015467 -1 10.07918 0.6000000238 2.321121326 0.6 -0.711 3.7008 4.682 1 0 0.544 0 0 0 0 0 -1 -1.44e-14 0 0.7889 0.2097 0.0002488 6.72e-05 0.00061 -1 0.001388 6.547 7.916 7.619 6.825 6.298 5.848 5.244 4.761 4.676
0.0015467 -1 10.07918 0.6064133644 2.32541528 0.606 -0.683 3.705 4.676 1 0 0.544 0 0 0 0 0 -1 -1.53e-14 0 0.7899 0.2087 0.0002477 6.691e-05 0.0006074 -1 0.00139 6.479 7.781 7.52 6.74 6.226 5.783 5.192 4.72 4.637
0.0015467 -1 10.07918 0.6233364344 2.336259626 0.623 -0.612 3.7161 4.66 1 0 0.544 0 0 0 0 0 -1 -1.82e-14 0 0.7929 0.2058 0.0002448 6.612e-05 0.0006004 -1 0.001362 6.299 7.433 7.261 6.521 6.036 5.613 5.056 4.612 4.534
0.0015467 -1 10.07918 0.639118135 2.345779739 0.639 -0.545 3.7262 4.645 1 0 0.543 0 0 0 0 0 -1 -1.93e-14 0 0.7956 0.203 0.0002419 6.536e-05 0.0005935 -1 0.001386 6.131 7.126 7.028 6.323 5.863 5.456 4.929 4.509 4.437
0.0015467 -1 10.07918 0.6499999762 2.352035311 0.65 -0.498 3.7331 4.633 1 0 0.543 0 0 0 0 0 -1 -2.38e-14 0 0.7977 0.201 0.0002399 6.483e-05 0.0005887 -1 0.001337 6.015 6.923 6.871 6.19 5.745 5.349 4.841 4.437 4.368
