# downloaded from PARSEC/CMD via ezpadova
# component=NSD family=NSD component_index=9 logAge=9.8451 MH=-0.5 photometric_system=roman2021
# Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag SNprismmag Grism_1stOrdermag Grism_0thOrdermag
0.0048313 -0.5 9.8451 0.0900000036 1.081689593 0.09 -3.326 3.4057 5.293 1 0 0.545 0 0 0 0 0 -1 -4.47e-17 0 0.7366 0.2584 0.0008868 0.0002392 0.00217 -1 0.004931 13.084 15.76 12.476 11.511 10.933 10.609 10.53 10.982 10.306 11.326 10.877 10.627
0.0048313 -0.5 9.8451 0.1000000015 1.171106412 0.1 -3.117 3.4355 5.249 1 0 0.545 0 0 0 0 0 -1 -7.23e-17 0 0.7362 0.2589 0.0008868 0.0002392 0.00217 -1 0.004931 12.561 14.85 11.877 11.006 10.445 10.1 9.999 10.477 9.788 10.815 10.379 10.099
0.0048313 -0.5 9.8451 0.1199999973 1.319315425 0.12 -2.849 3.4678 5.189 1 0 0.545 0 0 0 0 0 -1 -1.31e-16 0 0.7353 0.2597 0.0008868 0.0002392 0.00217 -1 0.004931 11.892 13.578 11.092 10.371 9.838 9.463 9.34 9.846 9.153 10.169 9.758 9.44
0.0048313 -0.5 9.8451 0.1344251782 1.407580445 0.134 -2.712 3.4821 5.159 1 0 0.545 0 0 0 0 0 -1 -1.75e-16 0 0.7348 0.2603 0.0008868 0.0002392 0.00217 -1 0.004931 11.55 12.991 10.712 10.05 9.527 9.144 9.012 9.527 8.836 9.843 9.442 9.112
0.0048313 -0.5 9.8451 0.1400000006 1.438452672 0.14 -2.663 3.4872 5.148 1 0 0.545 0 0 0 0 0 -1 -1.95e-16 0 0.7346 0.2605 0.0008868 0.0002392 0.00217 -1 0.004931 11.428 12.781 10.579 9.936 9.417 9.031 8.896 9.414 8.724 9.728 9.331 8.996
0.0048313 -0.5 9.8451 0.1496381164 1.488228467 0.15 -2.592 3.4938 5.132 1 0 0.545 0 0 0 0 0 -1 -2.26e-16 0 0.7343 0.2608 0.0008868 0.0002392 0.00217 -1 0.004931 11.251 12.5 10.389 9.768 9.254 8.865 8.727 9.248 8.561 9.559 9.166 8.827
0.0048313 -0.5 9.8451 0.1599999964 1.537293155 0.16 -2.521 3.5004 5.116 1 0 0.545 0 0 0 0 0 -1 -2.62e-16 0 0.734 0.2611 0.0008868 0.0002392 0.00217 -1 0.004931 11.072 12.224 10.198 9.6 9.091 8.698 8.557 9.081 8.397 9.389 9.001 8.657
0.0048313 -0.5 9.8451 0.1999999881 1.693879036 0.2 -2.302 3.5182 5.065 1 0 0.545 0 0 0 0 0 -1 -4.12e-16 0 0.7329 0.2622 0.0008868 0.0002392 0.00217 -1 0.004931 10.524 11.435 9.629 9.082 8.586 8.186 8.036 8.568 7.89 8.868 8.491 8.136
0.0048313 -0.5 9.8451 0.25 1.8403258 0.25 -2.094 3.5323 5.011 1 0 0.545 0 0 0 0 0 -1 -6.31e-16 0 0.7322 0.2629 0.0008868 0.0002393 0.00217 -1 0.004931 10.005 10.762 9.1 8.587 8.101 7.695 7.539 8.076 7.404 8.371 8.002 7.638
0.0048313 -0.5 9.8451 0.3000000119 1.952913977 0.3 -1.931 3.5419 4.966 1 0 0.545 0 0 0 0 0 -1 -8.82e-16 0 0.7319 0.2632 0.0008868 0.0002393 0.00217 -1 0.004931 9.598 10.264 8.688 8.197 7.716 7.306 7.145 7.687 7.018 7.979 7.615 7.243
0.0048313 -0.5 9.8451 0.3499999642 2.043417416 0.35 -1.785 3.55 4.919 1 0 0.545 0 0 0 0 0 -1 -1.21e-15 0 0.7375 0.2576 0.0008868 0.0002392 0.00217 -1 0.004931 9.232 9.827 8.321 7.846 7.37 6.955 6.789 7.336 6.668 7.627 7.266 6.887
0.0048313 -0.5 9.8451 0.3999999762 2.118502399 0.4 -1.633 3.5614 4.87 1 0 0.545 0 0 0 0 0 -1 -1.7e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.852 9.35 7.941 7.489 7.02 6.597 6.422 6.978 6.311 7.266 6.91 6.52
0.0048313 -0.5 9.8451 0.4344720542 2.163501153 0.434 -1.516 3.5716 4.83 1 0 0.545 0 0 0 0 0 -1 -2.24e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.56 8.978 7.652 7.22 6.756 6.327 6.144 6.708 6.042 6.995 6.642 6.242
0.0048313 -0.5 9.8451 0.4499999881 2.182280901 0.45 -1.466 3.5759 4.813 1 0 0.545 0 0 0 0 0 -1 -2.51e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 8.436 8.824 7.529 7.105 6.644 6.212 6.026 6.593 5.928 6.879 6.528 6.124
0.0048313 -0.5 9.8451 0.4999999404 2.237454072 0.5 -1.288 3.5954 4.758 1 0 0.545 0 0 0 0 0 -1 -3.83e-15 0 0.7376 0.2575 0.0008868 0.0002392 0.00217 -1 0.004931 7.989 8.255 7.091 6.698 6.247 5.803 5.609 6.186 5.53 6.467 6.124 5.706
0.0048313 -0.5 9.8451 0.5500000119 2.283658263 0.55 -1.092 3.6221 4.711 1 0 0.544 0 0 0 0 0 -1 -6.05e-15 0 0.7565 0.2389 0.0008275 0.0002233 0.002026 -1 0.004593 7.5 7.639 6.617 6.262 5.82 5.356 5.167 5.747 5.117 6.021 5.687 5.263
0.0048313 -0.5 9.8451 0.5631964803 2.294290348 0.563 -1.041 3.6303 4.703 1 0 0.544 0 0 0 0 0 -1 -6.77e-15 0 0.7573 0.2381 0.0008251 0.0002227 0.002021 -1 0.004582 7.373 7.476 6.496 6.152 5.711 5.246 5.062 5.638 5.019 5.909 5.578 5.157
0.0048313 -0.5 9.8451 0.5999999642 2.321121285 0.6 -0.905 3.6523 4.682 1 0 0.544 0 0 0 0 0 -1 -9.19e-15 0 0.7595 0.2359 0.0008186 0.000221 0.002005 -1 0.00456 7.033 7.037 6.17 5.858 5.431 4.983 4.817 5.366 4.787 5.623 5.306 4.909
0.0048313 -0.5 9.8451 0.6499999166 2.352035277 0.65 -0.722 3.6843 4.662 1 0 0.544 0 0 0 0 0 -1 -1.38e-14 0 0.7626 0.2329 0.0008101 0.0002187 0.001985 -1 0.004526 6.576 6.464 5.73 5.466 5.083 4.694 4.558 5.041 4.536 5.266 4.983 4.642
0.0048313 -0.5 9.8451 0.656504631 2.355660923 0.656 -0.699 3.688 4.659 1 0 0.544 0 0 0 0 0 -1 -1.45e-14 0 0.7631 0.2324 0.0008086 0.0002183 0.001981 -1 0.004521 6.518 6.395 5.675 5.417 5.041 4.66 4.528 5.001 4.506 5.222 4.944 4.611
0.0048313 -0.5 9.8451 0.6814057827 2.368807913 0.681 -0.613 3.7021 4.645 1 0 0.544 0 0 0 0 0 -1 -1.77e-14 0 0.7649 0.2306 0.000803 0.0002168 0.001968 -1 0.004484 6.302 6.144 5.47 5.233 4.88 4.529 4.409 4.849 4.389 5.055 4.794 4.488
0.0048313 -0.5 9.8451 0.6999999881 2.377926697 0.7 -0.549 3.7124 4.634 1 0 0.544 0 0 0 0 0 -1 -2.04e-14 0 0.7663 0.2292 0.0007987 0.0002157 0.001958 -1 0.004459 6.142 5.965 5.323 5.1 4.763 4.432 4.321 4.739 4.301 4.933 4.685 4.396
0.0048313 -0.5 9.8451 0.7093491554 2.382304469 0.709 -0.517 3.7174 4.628 1 0 0.543 0 0 0 0 0 -1 -2.2e-14 0 0.7671 0.2284 0.0007943 0.000215 0.001952 -1 0.004452 6.063 5.878 5.25 5.034 4.705 4.384 4.276 4.683 4.257 4.873 4.63 4.35
0.0048313 -0.5 9.8451 0.7294476628 2.391280223 0.729 -0.449 3.728 4.614 1 0 0.539 0 0 0 0 0 -1 -2.58e-14 0 0.7689 0.2267 0.0007849 0.0002135 0.00194 -1 0.004417 5.893 5.693 5.095 4.894 4.58 4.279 4.18 4.564 4.162 4.743 4.512 4.251
0.0048313 -0.5 9.8451 0.747957468 2.399057681 0.748 -0.387 3.7375 4.601 1 0 0.537 0 0 0 0 0 -1 -2.98e-14 0 0.7706 0.225 0.0007764 0.0002122 0.001929 -1 0.004403 5.737 5.528 4.956 4.767 4.467 4.182 4.09 4.455 4.073 4.624 4.405 4.158
0.0048313 -0.5 9.8451 0.7487857342 2.399395381 0.749 -0.384 3.7379 4.6 1 0 0.537 0 0 0 0 0 -1 -3e-14 0 0.7707 0.2249 0.000776 0.0002121 0.001928 -1 0.004404 5.73 5.521 4.95 4.761 4.462 4.178 4.086 4.45 4.069 4.619 4.4 4.154
0.0048313 -0.5 9.8451 0.758004427 2.403096791 0.758 -0.353 3.742 4.591 1 0 0.536 0 0 0 0 0 -1 -3.23e-14 0 0.7718 0.2238 0.0007727 0.0002112 0.001921 -1 0.004384 5.654 5.441 4.881 4.697 4.404 4.126 4.038 4.394 4.021 4.559 4.344 4.105
0.0048313 -0.5 9.8451 0.7749922276 2.409653087 0.775 -0.297 3.7493 4.573 1 0 0.536 0 0 0 0 0 -1 -3.72e-14 0 0.7739 0.2217 0.0007666 0.0002096 0.001906 -1 0.004339 5.512 5.296 4.755 4.581 4.297 4.03 3.948 4.289 3.931 4.448 4.24 4.012
0.0048313 -0.5 9.8451 0.7900722623 2.415202256 0.79 -0.246 3.7556 4.556 1 0 0.536 0 0 0 0 0 -1 -4.22e-14 0 0.7759 0.2198 0.0007609 0.0002081 0.001893 -1 0.00431 5.386 5.169 4.644 4.477 4.201 3.944 3.866 4.196 3.851 4.349 4.148 3.929
0.0048313 -0.5 9.8451 0.7975714207 2.417872134 0.797 -0.221 3.7587 4.548 1 0 0.536 0 0 0 0 0 -1 -4.49e-14 0 0.7769 0.2188 0.000758 0.0002073 0.001886 -1 0.004307 5.323 5.105 4.589 4.425 4.153 3.901 3.825 4.149 3.81 4.299 4.101 3.887
0.0048313 -0.5 9.8451 0.801840961 2.419366561 0.801 -0.207 3.7603 4.542 1 0 0.536 0 0 0 0 0 -1 -4.66e-14 0 0.7776 0.2181 0.0007559 0.0002068 0.001881 -1 0.004295 5.288 5.07 4.557 4.395 4.125 3.875 3.801 4.121 3.786 4.27 4.074 3.862
0.0048313 -0.5 9.8451 0.8176833987 2.424755237 0.817 -0.154 3.766 4.52 1 0 0.536 0 0 0 0 0 -1 -5.34e-14 0 0.7805 0.2153 0.0007479 0.0002046 0.001861 -1 0.004235 5.155 4.938 4.44 4.284 4.021 3.778 3.707 4.018 3.694 4.163 3.972 3.767
0.0048313 -0.5 9.8451 0.8328975439 2.42970892 0.832 -0.103 3.7712 4.497 1 0 0.536 0 0 0 0 0 -1 -6.11e-14 0 0.7833 0.2125 0.0007398 0.0002024 0.001842 -1 0.004203 5.026 4.811 4.326 4.176 3.919 3.683 3.616 3.918 3.603 4.058 3.872 3.674
0.0048313 -0.5 9.8451 0.8463571072 2.433921003 0.846 -0.057 3.7756 4.476 1 0 0.535 0 0 0 0 0 -1 -6.9e-14 0 0.786 0.2098 0.0007322 0.0002004 0.001824 -1 0.004171 4.912 4.698 4.225 4.079 3.827 3.598 3.534 3.828 3.522 3.965 3.783 3.591
0.0048313 -0.5 9.8451 0.8610742092 2.438353744 0.86 -0.006 3.7798 4.45 1 0 0.535 0 0 0 0 0 -1 -7.92e-14 0 0.7901 0.2058 0.0007205 0.0001972 0.001795 -1 0.004126 4.785 4.573 4.111 3.97 3.723 3.5 3.439 3.725 3.427 3.858 3.68 3.494
0.0048313 -0.5 9.8451 0.8817887306 2.44430551 0.881 0.067 3.7854 4.409 1 0 0.535 0 0 0 0 0 -1 -9.71e-14 0 0.7964 0.1996 0.0007027 0.0001925 0.001753 -1 0.003979 4.601 4.392 3.945 3.81 3.57 3.355 3.298 3.574 3.287 3.702 3.53 3.352
0.0048313 -0.5 9.8451 0.8951427937 2.447974956 0.894 0.117 3.7888 4.38 1 0 0.534 0 0 0 0 0 -1 -1.12e-13 0 0.8007 0.1953 0.0006907 0.0001892 0.001724 -1 0.003941 4.479 4.272 3.833 3.701 3.466 3.256 3.201 3.47 3.19 3.595 3.427 3.253
0.0048313 -0.5 9.8451 0.8993800879 2.449113128 0.898 0.132 3.7898 4.37 1 0 0.534 0 0 0 0 0 -1 -1.17e-13 0 0.802 0.194 0.0006871 0.0001883 0.001715 -1 0.003931 4.439 4.233 3.797 3.666 3.432 3.223 3.169 3.436 3.158 3.561 3.393 3.221
0.0048313 -0.5 9.8451 0.9143952727 2.453048855 0.913 0.19 3.7932 4.333 1 0 0.534 0 0 0 0 0 -1 -1.38e-13 0 0.8066 0.1896 0.0006748 0.000185 0.001686 -1 0.003806 4.295 4.091 3.664 3.536 3.305 3.101 3.049 3.311 3.039 3.433 3.268 3.1
0.0048313 -0.5 9.8451 0.9286050797 2.456638993 0.927 0.245 3.7959 4.295 1 0 0.533 0 0 0 0 0 -1 -1.62e-13 0 0.8107 0.1855 0.0006634 0.000182 0.001659 -1 0.00377 4.157 3.954 3.534 3.409 3.181 2.981 2.93 3.187 2.92 3.307 3.145 2.981
0.0048313 -0.5 9.8451 0.9420598745 2.459923826 0.941 0.297 3.7978 4.257 1 0 0.533 0 0 0 0 0 -1 -1.9e-13 0 0.8146 0.1817 0.0006528 0.0001791 0.001634 -1 0.003711 4.026 3.825 3.41 3.286 3.061 2.863 2.814 3.067 2.804 3.186 3.026 2.864
0.0048313 -0.5 9.8451 0.9439284801 2.460371516 0.943 0.305 3.798 4.252 1 0 0.533 0 0 0 0 0 -1 -1.94e-13 0 0.8151 0.1812 0.0006513 0.0001788 0.00163 -1 0.0037 4.008 3.807 3.392 3.269 3.044 2.847 2.797 3.051 2.787 3.169 3.009 2.847
0.0048313 -0.5 9.8451 0.945148766 2.46066278 0.944 0.309 3.7981 4.248 1 0 0.533 0 0 0 0 0 -1 -1.97e-13 0 0.8153 0.1811 0.0006512 0.0001787 0.00163 -1 0.003699 3.996 3.795 3.381 3.258 3.033 2.836 2.786 3.04 2.777 3.158 2.998 2.836
