# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.0899999961 0.09 0.1136717758 2497.468389 5.279 17.771 13.222 10.943 10.453 10.239
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.0992661342 0.099 0.1245812387 2664.403528 5.241 16.992 12.66 10.489 9.989 9.764
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.1177984104 0.118 0.1444949419 2856.932635 5.186 15.441 11.769 9.95 9.422 9.181
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.136330694 0.136 0.1626869229 2988.133525 5.146 14.445 11.184 9.554 9.012 8.77
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.1548629701 0.155 0.17970189 3081.768417 5.115 13.74 10.755 9.242 8.694 8.453
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.1919275075 0.191 0.2122035499 3211.441387 5.063 12.817 10.14 8.754 8.198 7.963
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.2382582128 0.237 0.2518561991 3322.767852 5.008 12.022 9.57 8.275 7.712 7.483
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.2845888734 0.283 0.2901032838 3402.51462 4.963 11.465 9.135 7.893 7.325 7.1
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.3309195936 0.33 0.3273050038 3468.166988 4.924 11.01 8.771 7.568 6.994 6.773
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.377250284 0.376 0.3674114147 3544.051303 4.881 10.552 8.412 7.25 6.669 6.451
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.4135277867 0.413 0.4022097969 3623.264176 4.842 10.148 8.105 6.985 6.396 6.181
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.4235809743 0.423 0.4120525867 3644.181508 4.831 10.042 8.025 6.916 6.325 6.111
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.4596903324 0.459 0.4501452221 3748.866715 4.79 9.597 7.697 6.637 6.036 5.827
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.4699116945 0.469 0.461054903 3777.461094 4.779 9.481 7.609 6.562 5.958 5.751
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.5162423849 0.516 0.5139876037 3959.132167 4.726 8.865 7.158 6.179 5.555 5.37
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.5625730157 0.562 0.5664383445 4202.425277 4.679 8.204 6.682 5.773 5.125 4.982
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.6089037657 0.608 0.6087691624 4504.016782 4.651 7.51 6.216 5.393 4.775 4.671
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.636492312 0.636 0.6324885165 4707.604833 4.636 7.094 5.935 5.176 4.609 4.519
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.6552344561 0.655 0.6491613352 4846.185122 4.627 6.832 5.75 5.035 4.508 4.425
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.6692957282 0.669 0.6647412736 4943.10687 4.616 6.647 5.613 4.927 4.427 4.348
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.6863277555 0.686 0.6843096192 5060.576565 4.602 6.431 5.452 4.799 4.329 4.255
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.7015650868 0.701 0.7026719946 5166.542426 4.588 6.243 5.309 4.685 4.24 4.17
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.7108176351 0.711 0.7147474998 5229.979662 4.578 6.131 5.221 4.614 4.184 4.117
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.721889019 0.722 0.7307227772 5305.178489 4.566 5.999 5.117 4.529 4.116 4.051
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.7324388027 0.732 0.7467111646 5376.504331 4.554 5.874 5.018 4.447 4.05 3.987
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.7427623272 0.742 0.7637525 5446.280436 4.54 5.754 4.92 4.366 3.983 3.923
thick 7 thick_disk 10.07918125 -0.4 0.0060543 0.7514939904 0.751 0.7788478849 5503.006173 4.528 5.652 4.837 4.297 3.925 3.866
