# component component_index family logAge MH Zini Mini Mass radius_rsun Teff_K logg Vmag Imag Jmag_2mass Hmag_2mass Ksmag_2mass
bar 8 bar 9.954242509 0.25 0.025095 0.0955969095 0.095 0.1330615704 2303.032146 5.167 17.881 13.642 10.988 10.399 10.103
bar 8 bar 9.954242509 0.25 0.025095 0.1055120975 0.105 0.1439635823 2399.937877 5.141 17.518 13.291 10.638 10.05 9.752
bar 8 bar 9.954242509 0.25 0.025095 0.1253425032 0.125 0.1647603269 2552.113589 5.099 16.939 12.731 10.079 9.494 9.193
bar 8 bar 9.954242509 0.25 0.025095 0.145172894 0.145 0.1837183959 2663.790097 5.068 16.219 12.185 9.673 9.091 8.79
bar 8 bar 9.954242509 0.25 0.025095 0.1650032997 0.165 0.2015824155 2748.526952 5.043 15.448 11.664 9.366 8.786 8.491
bar 8 bar 9.954242509 0.25 0.025095 0.2046640813 0.204 0.2360220862 2874.749453 5 14.344 10.898 8.873 8.294 8.01
bar 8 bar 9.954242509 0.25 0.025095 0.2542400956 0.254 0.2780050243 2980.574626 4.952 13.441 10.241 8.396 7.814 7.542
bar 8 bar 9.954242509 0.25 0.025095 0.3106914163 0.31 0.3249021946 3073.972656 4.904 12.657 9.662 7.955 7.369 7.108
bar 8 bar 9.954242509 0.25 0.025095 0.339235276 0.339 0.3491826406 3113.866577 4.879 12.331 9.412 7.755 7.166 6.909
bar 8 bar 9.954242509 0.25 0.025095 0.3533920944 0.353 0.3612872579 3132.564342 4.867 12.183 9.296 7.66 7.069 6.815
bar 8 bar 9.954242509 0.25 0.025095 0.4029681087 0.403 0.4032298227 3215.881224 4.829 11.634 8.882 7.335 6.735 6.49
bar 8 bar 9.954242509 0.25 0.025095 0.4525440931 0.452 0.4492133401 3312.07376 4.786 11.064 8.461 7.006 6.392 6.156
bar 8 bar 9.954242509 0.25 0.025095 0.502120018 0.502 0.4991747911 3421.369661 4.739 10.505 8.035 6.669 6.038 5.81
bar 8 bar 9.954242509 0.25 0.025095 0.51780653 0.518 0.5176695797 3465.77209 4.722 10.301 7.882 6.55 5.912 5.687
bar 8 bar 9.954242509 0.25 0.025095 0.5516960621 0.551 0.5569967291 3559.59018 4.685 9.878 7.569 6.304 5.653 5.435
bar 8 bar 9.954242509 0.25 0.025095 0.601271987 0.601 0.6062512469 3749.730022 4.649 9.169 7.098 5.962 5.287 5.088
bar 8 bar 9.954242509 0.25 0.025095 0.650848031 0.651 0.6464763546 4002.211172 4.628 8.426 6.625 5.613 4.927 4.763
bar 8 bar 9.954242509 0.25 0.025095 0.7004240751 0.7 0.6822642965 4286.472087 4.612 7.714 6.178 5.271 4.607 4.481
bar 8 bar 9.954242509 0.25 0.025095 0.7157036066 0.716 0.6920741768 4390.358656 4.61 7.482 6.037 5.168 4.522 4.408
bar 8 bar 9.954242509 0.25 0.025095 0.75 0.75 0.7121191173 4627.005332 4.605 6.993 5.728 4.943 4.365 4.266
bar 8 bar 9.954242509 0.25 0.025095 0.7680441141 0.768 0.7319015128 4710.857854 4.592 6.795 5.586 4.829 4.277 4.183
bar 8 bar 9.954242509 0.25 0.025095 0.7965114117 0.796 0.7639283808 4845.069375 4.57 6.494 5.366 4.652 4.14 4.052
bar 8 bar 9.954242509 0.25 0.025095 0.8000000119 0.8 0.7683385874 4861.832585 4.567 6.458 5.339 4.63 4.123 4.036
bar 8 bar 9.954242509 0.25 0.025095 0.803812921 0.803 0.7724184608 4879.777273 4.564 6.418 5.31 4.606 4.104 4.018
bar 8 bar 9.954242509 0.25 0.025095 0.826420486 0.826 0.8010371258 4988.844875 4.545 6.188 5.136 4.465 3.992 3.91
bar 8 bar 9.954242509 0.25 0.025095 0.8475925326 0.847 0.828805539 5088.61976 4.526 5.979 4.975 4.334 3.887 3.809
bar 8 bar 9.954242509 0.25 0.025095 0.8500000238 0.849 0.8326311315 5100.35024 4.524 5.956 4.957 4.319 3.875 3.797
bar 8 bar 9.954242509 0.25 0.025095 0.8637241125 0.863 0.8528107081 5162.974737 4.509 5.824 4.853 4.232 3.803 3.728
bar 8 bar 9.954242509 0.25 0.025095 0.8837120533 0.883 0.884815343 5252.910485 4.487 5.635 4.701 4.104 3.696 3.624
bar 8 bar 9.954242509 0.25 0.025095 0.8999999762 0.899 0.9131721226 5324.759536 4.468 5.484 4.578 4 3.607 3.538
bar 8 bar 9.954242509 0.25 0.025095 0.9036361575 0.903 0.9197136769 5339.492736 4.463 5.451 4.55 3.976 3.586 3.518
bar 8 bar 9.954242509 0.25 0.025095 0.9159978628 0.915 0.9439579422 5390.139436 4.446 5.338 4.456 3.894 3.515 3.449
bar 8 bar 9.954242509 0.25 0.025095 0.9274849296 0.927 0.9688413025 5435.005651 4.43 5.233 4.368 3.817 3.448 3.383
bar 8 bar 9.954242509 0.25 0.025095 0.9388335347 0.938 0.9941516665 5477.722157 4.413 5.131 4.281 3.741 3.38 3.317
bar 8 bar 9.954242509 0.25 0.025095 0.9496304393 0.949 1.019184112 5516.962094 4.395 5.034 4.198 3.667 3.313 3.252
bar 8 bar 9.954242509 0.25 0.025095 0.9500000477 0.949 1.021063249 5518.232568 4.395 5.031 4.195 3.665 3.311 3.25
bar 8 bar 9.954242509 0.25 0.025095 0.9596251845 0.959 1.046532319 5548.811864 4.378 4.945 4.121 3.597 3.249 3.19
bar 8 bar 9.954242509 0.25 0.025095 0.9692077637 0.968 1.073130763 5578.276021 4.36 4.86 4.047 3.53 3.187 3.129
